SID,2008-08-23,2008-08-25,2008-09-01,2008-09-08,2008-09-15,2008-09-22,2008-09-29,2008-10-06,2008-10-13,2008-10-20,2008-10-27,2008-11-03,2008-11-10,2008-11-17,2008-11-24,2008-12-01,2008-12-08,2008-12-15
01000055,0,0,0,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4
01001121,1,3,3,4,5,6,6,7,7,7,9,10,11,12,12,13,13,13
01004440,1,2,3,3,4,4,4,4,5,5,5,5,5,5,5,6,6,6
01008040,0,3,5,6,7,7,7,8,8,9,10,11,13,13,13,14,15,15
01008949,2,3,4,5,5,6,6,7,7,7,7,8,8,8,8,8,8,8
01011572,2,3,4,5,6,7,7,8,8,9,9,10,11,11,11,12,12,12
01011899,1,3,4,5,6,7,7,9,9,9,9,9,9,10,10,10,10,10
01013639,0,3,3,4,5,6,7,8,8,8,9,9,9,9,9,9,9,9
01013978,2,4,6,8,9,10,11,12,13,14,15,16,17,18,18,19,20,20
01015749,1,4,5,5,5,5,6,6,7,7,8,8,8,9,9,9,10,10
01017990,0,2,2,3,3,3,4,5,5,6,6,6,7,7,7,7,7,7
01018061,2,4,6,8,9,9,10,12,12,13,13,14,14,14,14,15,15,15
01018678,0,3,3,3,3,3,4,4,5,5,6,6,6,7,7,7,7,7
01019288,0,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5
01020068,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,7,7,7
01023445,0,3,3,4,4,5,5,5,6,7,7,7,9,10,10,10,10,10
01025850,2,4,5,5,6,7,7,7,7,8,8,8,9,10,10,10,10,10
01026681,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
01026940,0,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
01027497,0,2,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6
01028379,0,2,3,4,5,5,5,6,6,7,8,8,9,9,9,9,10,10
01029728,2,2,4,5,5,5,5,6,6,7,7,7,8,9,9,10,10,10
01031398,0,3,4,4,5,5,6,6,7,7,8,9,10,10,10,11,12,12
01032501,1,3,3,5,6,6,6,7,9,9,10,12,12,12,12,12,12,12
01033929,2,4,6,6,7,8,8,9,9,9,10,10,11,11,11,12,13,13
01035056,0,2,2,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6
01035623,0,2,4,6,7,8,8,9,10,10,11,12,13,13,13,15,15,15
01036938,1,3,4,4,5,7,7,9,10,10,11,11,12,13,13,13,14,14
01040888,0,3,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6
01041388,2,3,4,4,5,6,7,8,9,11,12,14,15,16,16,17,17,18
01046243,2,3,4,6,7,8,9,9,10,10,10,11,11,12,12,13,13,14
01047998,2,4,5,6,7,7,8,8,8,9,10,10,10,10,10,11,11,11
01051233,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
01051726,1,2,4,4,5,5,5,6,6,7,7,8,8,8,8,8,9,9
01053958,2,3,4,5,5,6,7,7,8,8,8,8,8,8,8,8,9,9
01053963,2,3,4,4,4,5,5,5,6,6,6,7,7,7,7,7,8,8
01057120,2,3,4,5,6,6,7,8,8,9,9,9,10,11,11,11,11,11
01059037,1,3,3,4,5,6,6,6,6,7,7,7,7,8,8,8,8,8
01060277,2,3,3,3,3,4,5,5,5,6,6,8,8,9,9,9,10,10
01062020,2,3,4,5,5,5,6,6,7,7,7,7,7,8,8,8,8,8
01063908,3,4,5,5,6,7,8,8,8,8,8,10,10,10,10,11,11,12
01066011,0,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5
01066030,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
01067385,3,4,5,6,8,9,9,9,10,11,11,12,12,13,13,14,14,14
01068391,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
01068841,0,2,3,3,3,4,4,4,4,5,5,6,6,6,6,7,8,8
01069428,1,3,4,5,5,6,7,8,9,9,10,10,10,11,11,11,12,12
01069621,0,1,2,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5
01070317,1,2,4,5,7,9,9,10,11,12,13,14,15,16,16,17,18,18
01070821,0,2,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5
01073023,2,3,5,5,7,7,8,8,9,10,10,11,11,12,12,12,12,12
01074984,0,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
01077390,2,4,4,4,5,6,8,10,11,12,13,13,13,14,14,14,14,14
01079881,0,2,2,3,3,4,4,4,4,5,5,6,6,6,6,7,8,8
01081430,2,3,4,5,6,7,8,9,9,10,11,11,12,13,13,13,13,13
01083359,2,3,4,6,6,6,8,9,9,10,10,10,10,11,11,11,11,11
01084197,1,3,4,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7
01084924,2,3,3,4,5,5,6,7,8,9,10,11,12,13,13,14,15,15
01086197,2,5,6,8,9,10,11,11,12,14,15,15,15,16,16,16,16,17
01086279,2,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,7,7
01091387,0,2,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,9
01092224,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
01093657,2,3,4,5,6,7,7,8,9,10,11,11,12,13,13,13,14,14
01095056,0,4,4,6,7,8,10,11,11,11,12,12,12,13,13,13,13,14
01096543,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
01100563,2,3,3,4,5,5,6,6,7,7,8,9,9,9,9,10,11,11
01100701,1,2,3,4,5,6,6,6,7,8,8,8,9,9,9,9,9,9
01103079,0,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
01103396,2,4,5,5,6,7,7,8,8,8,8,9,10,10,10,11,12,12
01104458,2,3,4,4,5,6,6,7,7,8,9,9,10,10,10,11,11,12
01106237,1,2,3,4,4,5,5,6,6,7,7,7,8,8,8,8,8,9
01106258,1,3,4,4,5,5,6,6,7,7,7,7,8,8,8,9,10,10
01106760,0,0,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,5
01107080,2,3,4,5,6,6,7,8,8,9,9,9,10,10,10,11,12,12
01108167,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3
01112670,1,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5
01112731,2,3,4,5,5,5,6,6,6,7,7,7,8,8,8,8,9,9
01113191,2,3,4,5,5,7,7,8,9,9,10,10,10,11,11,12,12,12
01115532,1,4,4,6,6,7,7,8,8,8,9,9,11,11,11,12,13,13
01122527,2,4,5,7,8,9,10,11,12,14,15,15,17,17,17,17,19,19
01123575,0,2,3,4,5,5,5,5,6,6,7,7,7,7,7,7,7,7
01125652,1,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6
01128807,2,3,5,5,6,6,7,7,8,9,9,9,10,10,10,11,11,11
01130345,2,2,3,4,5,5,5,6,6,6,7,7,8,8,8,9,9,9
01130930,0,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6
01131116,2,3,4,5,5,6,6,7,7,8,8,9,9,9,9,10,11,11
01131674,2,4,5,6,8,9,10,11,11,12,13,14,15,15,15,16,16,17
01132148,0,2,3,4,4,5,5,6,6,6,7,7,8,8,8,8,9,9
01134017,1,3,3,3,3,3,4,6,6,7,7,8,8,9,9,10,11,11
01139097,0,3,3,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8
01142969,0,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
01144772,0,2,3,5,5,6,6,6,6,7,7,7,7,8,8,8,8,8
01145011,0,2,4,6,8,8,10,10,12,12,12,12,13,15,15,16,17,17
01146018,2,3,4,4,5,6,6,7,7,8,9,10,10,11,11,12,13,13
01147149,1,2,2,2,3,4,4,4,4,5,7,8,8,8,8,8,8,8
01148629,0,0,0,0,2,2,3,3,3,3,4,4,5,6,6,6,6,6
01150135,1,3,3,4,5,6,6,7,7,7,9,9,9,10,10,10,10,10
01150398,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
01150566,2,3,4,5,5,6,6,6,7,8,8,9,10,11,11,12,12,13
01150923,2,4,5,5,6,7,8,8,9,9,10,10,10,11,11,11,12,12
01151192,1,2,3,4,4,4,4,5,6,6,6,7,8,8,8,9,9,9
01151697,0,3,3,3,4,4,4,4,5,6,6,6,6,6,6,6,6,6
01152626,0,2,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6
01153315,2,2,4,5,6,6,8,9,9,10,11,11,12,12,12,12,12,13
01153466,1,3,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,8
01153639,0,0,0,0,1,3,3,3,3,3,4,4,5,5,5,5,5,5
01155658,0,5,5,5,5,6,7,8,8,8,9,9,11,11,11,12,12,12
01156368,0,2,4,4,4,5,5,5,5,6,6,6,6,6,6,7,7,7
01158672,2,3,3,3,4,4,5,5,5,5,6,7,7,7,7,8,8,8
01159084,0,3,3,5,7,8,9,9,10,11,12,14,15,15,15,16,16,16
01159125,2,3,3,4,5,5,5,6,7,7,8,8,9,9,9,10,10,10
01160306,0,1,2,2,3,3,3,4,4,4,5,5,6,6,6,6,6,6
01161370,1,2,3,4,6,6,6,6,6,6,6,6,7,7,7,8,8,8
01163955,2,3,4,5,6,7,7,8,8,8,8,8,9,9,9,9,9,9
01166217,1,3,5,5,6,7,8,9,9,9,10,10,10,10,10,11,11,11
01170810,1,2,2,3,4,4,4,4,4,5,5,5,5,5,5,6,6,6
01171354,0,2,3,3,4,4,4,6,6,6,6,7,7,8,8,8,9,9
01174749,1,3,3,4,4,5,5,6,6,7,8,8,8,9,9,9,9,9
01176609,2,3,4,6,7,7,8,8,9,9,9,10,10,11,11,11,12,12
01177907,2,2,4,4,4,4,4,5,5,5,5,6,6,6,6,6,7,7
01179153,0,2,3,3,3,4,4,4,4,4,4,5,5,6,6,6,6,6
01179567,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2
01180989,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
01182136,0,4,7,8,9,10,12,12,12,14,15,16,16,17,17,18,18,18
01184313,2,4,5,7,8,9,10,10,10,11,11,11,11,12,12,12,12,12
01186637,0,2,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5
01189753,0,3,4,4,4,4,5,6,6,6,6,7,7,7,7,8,9,9
01190974,0,3,3,4,7,8,8,8,8,8,9,9,10,10,10,11,12,12
01191723,2,4,4,5,5,6,7,7,7,8,8,8,8,8,8,8,8,8
01193504,2,3,4,6,7,8,8,8,8,9,10,10,11,12,12,13,13,14
01195366,1,2,4,5,5,6,6,7,8,8,9,9,10,10,10,10,11,11
01195429,0,2,3,5,6,7,7,8,8,9,10,10,10,11,11,12,12,12
01196221,0,4,5,6,6,7,7,8,8,9,10,11,12,12,12,12,12,12
01199405,2,4,5,5,5,6,6,7,7,8,8,9,9,10,10,10,11,11
01200360,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01202367,0,2,4,4,5,6,6,7,7,8,8,8,9,9,9,9,9,9
01203352,2,3,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,8
01204880,0,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
01205219,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
01206681,1,2,3,4,4,5,5,5,5,5,6,6,7,7,7,7,8,8
01207596,2,4,5,6,7,7,8,11,11,13,14,16,17,17,17,18,18,18
01210453,1,4,4,6,6,6,7,7,8,9,9,9,10,11,11,11,12,12
01210916,2,3,4,5,7,8,9,10,11,11,12,12,13,13,13,14,14,14
01211679,1,2,3,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8
01212548,1,3,3,3,4,4,4,5,5,5,6,6,7,7,7,7,7,7
01213255,2,3,4,5,7,8,9,10,11,11,12,13,14,14,14,14,15,15
01214081,2,3,3,4,4,4,5,5,5,6,6,6,6,6,6,7,7,7
01216275,2,4,4,5,7,7,8,8,9,10,11,11,13,13,13,14,14,14
01218459,2,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,5,5
01218691,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5
01219070,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01219258,2,2,4,5,5,6,7,8,9,9,11,12,12,13,13,14,15,15
01220769,1,4,4,6,7,8,10,11,12,13,14,14,15,15,15,15,16,16
